Nutrient/Item (unit),Year,Reg_Prov,Sex,Age (years),n,Mean,SE_Mean,P5,P5_SE,P10,P10_SE,P25,P25_SE,P50,P50_SE,P75,P75_SE,P90,P90_SE,P95,P95_SE,EAR,% <EAR,%<EAR_SE,p-value_%EAR,Both,Male,Female,AI,% >AI,%>AI_SE,p-value_%AI,UL,% >UL,%>UL_SE,AMDR,% below AMDR,% below AMDR_SE,% within AMDR,% within AMDR_SE,p-value  % within AMDR,% above AMDR,% above AMDR_SE,p-value % below AMDR,p-value % above AMDR,CDRR,% >CDRR,%>CDRR_SE,p-value_%CDRR,%Inadequacy,%Inadequacy_SE,p_value %Inadequacy,%  above AMDR_SE,p-value_%UL
Percentage of total energy intake from carbohydrates,2015,Canada excluding territories,Male,9-13,1023,53.5,0.4,46.5,0.7,48,0.6,50.6,0.5,53.5,0.4,56.4,0.4,59,0.6,60.6,0.7,,,,,,53.5,,,,,,,,,45-65,F,,97.2305865356693,1.35170050353994,0.108,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Canada excluding territories,Female,9-13,939,54.8,0.5,49.5,1.4,50.6,1.2,52.6,0.7,54.8,0.5,57,0.7,59,1.1,60.2,1.3,,,,,,,54.8,,,,,,,,45-65,<3,,99.7390322062793,0.753813693995032,0.356,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Canada excluding territories,Male,14-18,900,51.3,0.5,43.5,1,45.2,0.8,48.1,0.6,51.3,0.5,54.4,0.6,57.3,0.9,59.1,1.1,,,,,,51.3,,,,,,,,,45-65,9.21138670470484,3.0E,90.6150443104538,3.07950522009185,0.032,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Canada excluding territories,Female,14-18,986,51.8,0.6,44.7,1.4,46.2,1.2,48.9,0.8,51.8,0.6,54.7,0.7,57.3,1.1,58.9,1.3,,,,,,,51.8,,,,,,,,45-65,F,,94.0849979195709,3.40834797163401,0.05,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Canada excluding territories,Male,19-30,857,46.5,0.7,35.5,1.1,37.9,1,41.9,0.8,46.6,0.7,50.9,0.8,55.1,1,57.5,1.1,,,,,,46.5,,,,,,,,,45-65,41.0063933519696,4.05504808738397,58.7003456306582,4.02822100438625,0.002,<3,,0.001,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Canada excluding territories,Female,19-30,872,48.6,0.7,42.3,3.1,43.7,2.5,46,1.6,48.6,0.8,51.1,1.2,53.4,2.2,54.8,2.7,,,,,,,48.6,,,,,,,,45-65,F,,82.1672392566315,12.5099770762347,0.014,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Canada excluding territories,Male,31-50,2005,46.9,0.5,34.6,1.2,37.5,1,42,0.7,47.1,0.5,52,0.6,56.3,0.9,58.8,1.1,,,,,,46.9,,,,,,,,,45-65,39.119767193738,2.77588223515838,60.2944274232872,2.81466695753971,0.164,<3,,0.166,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Canada excluding territories,Female,31-50,2207,47.7,0.5,37.3,1.1,39.7,0.9,43.5,0.6,47.7,0.5,52,0.6,55.8,0.9,58.1,1.1,,,,,,,47.7,,,,,,,,45-65,33.2432293276819,3.15477377765547,66.4593786699799,3.21587585417351,0.116,<3,,0.114,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Canada excluding territories,Male,51-70,2151,46.5,0.4,35.2,0.8,37.8,0.7,41.8,0.5,46.5,0.4,51.1,0.5,55.3,0.7,57.8,0.9,,,,,,46.5,,,,,,,,,45-65,41.4119267926198,2.38775566565335,58.225466853971,2.3613778776306,0.251,<3,,0.252,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Canada excluding territories,Female,51-70,2314,48.1,0.4,36.7,0.8,39.3,0.7,43.4,0.5,48.1,0.4,52.8,0.5,57,0.7,59.6,0.8,,,,,,,48.1,,,,,,,,45-65,32.771953195699,2.39675356925336,66.4867394228867,2.46326417521128,0.003,<3,,0.003,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Canada excluding territories,Male,71 years and over,1180,49,0.5,37.3,1.1,40,0.8,44.4,0.6,49.1,0.5,53.6,0.6,57.7,0.8,60.2,0.9,,,,,,49,,,,,,,,,45-65,27.8297480156861,2.62215982896303,71.2919684335132,2.68322663219856,0.169,<3,,0.166,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Canada excluding territories,Female,71 years and over,1448,50.5,0.4,41.2,0.8,43.3,0.7,46.7,0.5,50.6,0.4,54.3,0.5,57.8,0.7,59.8,0.9,,,,,,,50.5,,,,,,,,45-65,16.5791891568261,2.62339653278594,82.94164642642,2.75839957383348,0.008,<3,,0.006,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Canada excluding territories,Male,19 years and over,6193,46.9,0.3,35.3,0.6,37.8,0.5,42.1,0.3,46.9,0.3,51.7,0.3,56,0.4,58.5,0.5,,,,,,46.9,,,,,,,,,45-65,39.1969627769091,1.57095530609614,60.2378287759203,1.55948848072216,<0.001,0.565208447170562,0.2E,<0.001,0.02,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Canada excluding territories,Female,19 years and over,6841,48.4,0.3,38.3,0.7,40.5,0.5,44.2,0.4,48.3,0.3,52.5,0.3,56.3,0.5,58.5,0.6,,,,,,,48.4,,,,,,,,45-65,29.3973260694496,1.89343521533275,70.2997741800929,1.96010777965333,<0.001,<3,,<0.001,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Canada excluding territories,Both,1-3,2117,54.6,0.4,46,0.9,47.9,0.7,51,0.5,54.6,0.4,58.1,0.5,61.3,0.7,63.2,0.9,,,,,54.6,,,,,,,,,,45-65,F,,94.3151224468334,2.08856119127003,,F,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Canada excluding territories,Both,4-8,3235,55.7,0.2,48.5,0.6,50,0.5,52.7,0.3,55.7,0.2,58.6,0.3,61.3,0.5,62.9,0.6,,,,,55.7,,,,,,,,,,45-65,<3,,97.5363349402648,1.01665489525114,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Canada excluding territories,Male,9-13,2080,54.6,0.3,47.5,0.7,49.1,0.6,51.7,0.4,54.6,0.3,57.5,0.4,60.1,0.6,61.6,0.7,,,,,,54.6,,,,,,,,,45-65,<3,,97.9425526665067,1.12294814063186,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Canada excluding territories,Female,9-13,1980,55.4,0.3,50,1.4,51.2,1.1,53.1,0.6,55.3,0.3,57.5,0.6,59.5,1.1,60.7,1.3,,,,,,,55.4,,,,,,,,45-65,<3,,99.7944229112566,0.750351506787124,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Canada excluding territories,Male,14-18,2288,52.8,0.3,45,1,46.7,0.8,49.6,0.5,52.8,0.3,56,0.5,58.9,0.8,60.6,1,,,,,,52.8,,,,,,,,,45-65,F,,94.3989373152598,2.37698620656489,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Canada excluding territories,Female,14-18,2256,54.3,0.4,47.2,1.3,48.8,1,51.4,0.6,54.3,0.4,57.2,0.6,59.9,0.9,61.4,1.2,,,,,,,54.3,,,,,,,,45-65,F,,97.8291571831919,1.98120003552578,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Canada excluding territories,Male,19-30,1804,49.7,0.5,38.6,1.1,41,0.9,45,0.6,49.7,0.5,54.2,0.6,58.3,0.8,60.8,1,,,,,,49.7,,,,,,,,,45-65,24.7777914383424,2.99386547650482,74.0443379000771,3.21466093210973,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Canada excluding territories,Female,19-30,1854,52.4,0.5,46.2,2.9,47.6,2.3,49.8,1.4,52.4,0.5,54.9,1.2,57.2,2.2,58.6,2.8,,,,,,,52.4,,,,,,,,45-65,F,,97.4582690185335,4.63551436804482,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Canada excluding territories,Male,31-50,2596,47.9,0.5,35.6,1.2,38.5,1,43,0.7,48,0.5,52.9,0.6,57.2,0.9,59.8,1.1,,,,,,47.9,,,,,,,,,45-65,34.0619243227873,2.89027612835048,65.1386253041185,2.97012129340222,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Canada excluding territories,Female,31-50,2686,48.7,0.5,38.3,1,40.6,0.8,44.5,0.5,48.7,0.5,53,0.7,56.9,1,59.2,1.2,,,,,,,48.7,,,,,,,,45-65,27.7421357083446,2.78776424006771,71.7259979844601,2.89732694732812,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Canada excluding territories,Male,51-70,2550,47.1,0.4,35.8,0.8,38.3,0.7,42.5,0.5,47.1,0.4,51.8,0.5,56,0.7,58.5,0.9,,,,,,47.1,,,,,,,,,45-65,37.8726734890358,2.36791227924915,61.6608055719473,2.35396635002546,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Canada excluding territories,Female,51-70,3200,49.7,0.4,38.2,0.8,40.8,0.6,45,0.4,49.7,0.3,54.3,0.5,58.6,0.7,61.1,0.9,,,,,,,49.7,,,,,,,,45-65,24.9985321044497,2.03634902938799,73.6457070014498,2.23725584777526,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Canada excluding territories,Male,71 years and over,1520,49.9,0.5,38.5,1,41.1,0.9,45.4,0.6,50.1,0.5,54.6,0.6,58.7,0.8,61.1,0.9,,,,,,49.9,,,,,,,,,45-65,23.4307039292756,2.87343706674865,75.329560413832,2.99995648770597,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Canada excluding territories,Female,71 years and over,2610,51.9,0.3,42.7,0.8,44.7,0.7,48.1,0.5,51.9,0.3,55.7,0.4,59.2,0.6,61.3,0.8,,,,,,,51.9,,,,,,,,45-65,10.9965268037354,2.2E,87.9288278881279,2.54485221316053,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Canada excluding territories,Male,19 years and over,8470,48.3,0.3,36.6,0.5,39.2,0.5,43.5,0.3,48.3,0.3,53.1,0.3,57.3,0.4,59.9,0.5,,,,,,48.3,,,,,,,,,45-65,32.1357695513031,1.51945631356454,66.9766843750308,1.56793510850778,,0.887546073666057,0.2E,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Canada excluding territories,Female,19 years and over,10350,50.1,0.2,40,0.6,42.2,0.5,45.9,0.3,50.1,0.2,54.2,0.3,58,0.5,60.2,0.6,,,,,,,50.1,,,,,,,,45-65,20.429196217016,1.70654155160673,78.8269227561451,1.88330803960509,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Newfoundland and Labrador,Both,1-3,75,54.4,1,46,1.4,47.9,1.2,50.9,1.1,54.3,1,57.9,1.1,61,1.2,62.9,1.3,,,,,54.4,,,,,,,,,,45-65,F,,94.8205452616319,2.53517471033332,0.502,F,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Newfoundland and Labrador,Both,4-8,76,55.2,1,48.2,1.3,49.9,1.2,52.4,1.1,55.2,1,58,1,60.5,1.1,62.2,1.1,,,,,55.2,,,,,,,,,,45-65,F,,98.0362223143427,1.89894716610906,0.779,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Newfoundland and Labrador,Male,9-13,73,53.3,0.9,46.4,1.1,47.9,1,50.5,1,53.3,0.9,56.2,1,58.6,1.1,60.3,1.1,,,,,,53.3,,,,,,,,,45-65,F,,97.2250321683314,1.92050393316292,0.351,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Newfoundland and Labrador,Female,9-13,71,54.4,0.9,48.9,1.8,50.1,1.5,52.2,1.1,54.4,0.9,56.6,1,58.6,1.3,59.8,1.6,,,,,,,54.4,,,,,,,,45-65,<3,,99.6649464656285,0.736760443672434,0.316,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Newfoundland and Labrador,Male,14-18,67,52.6,1,44.9,1.4,46.7,1.3,49.5,1.1,52.7,1,55.8,1.1,58.6,1.3,60.5,1.4,,,,,,52.6,,,,,,,,,45-65,F,,94.1934561382456,3.0028077533495,0.168,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Newfoundland and Labrador,Female,14-18,62,51.8,1,44.8,1.5,46.3,1.3,49,1,51.9,1,54.6,1.2,57.3,1.5,58.9,1.7,,,,,,,51.8,,,,,,,,45-65,F,,94.3084228197311,3.27691182405757,0.084,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Newfoundland and Labrador,Male,19-30,35,46.2,1.2,35.5,1.6,37.5,1.5,41.3,1.3,46.2,1.2,50.8,1.3,54.8,1.5,57.3,1.6,,,,,,46.2,,,,,,,,,45-65,43.3993777275441,7.3E,56.3515286791301,7.14093681399993,0.006,<3,,0.006,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Newfoundland and Labrador,Female,19-30,51,48,1.5,41.9,3.9,43.3,3.2,45.5,2.2,48,1.5,50.6,1.8,52.8,2.7,54.1,3.4,,,,,,,48,,,,,,,,45-65,F,,79.3886768792405,16.7E,0.077,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Newfoundland and Labrador,Male,31-50,119,46.5,1,34.1,1.6,37.1,1.4,41.6,1.2,46.6,1.1,51.6,1.1,55.8,1.3,58.5,1.4,,,,,,46.5,,,,,,,,,45-65,41.2101839083793,5.84568176058869,58.3651336354582,5.75222949098537,0.583,<3,,0.58,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Newfoundland and Labrador,Female,31-50,127,45.6,1,35.5,1.5,37.7,1.3,41.1,1.1,45.6,1,49.9,1,53.5,1.2,56.1,1.4,,,,,,,45.6,,,,,,,,45-65,46.2303347113914,6.16737769726704,53.6908199685791,6.11675813128044,0.175,<3,,0.173,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Newfoundland and Labrador,Male,51-70,150,47.7,1.4,36.3,1.6,39,1.6,43,1.4,47.8,1.5,52.4,1.5,56.5,1.6,59.3,1.8,,,,,,47.7,,,,,,,,,45-65,34.8378429652168,7.9E,64.5226755394909,7.64051040642457,0.709,<3,,0.694,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Newfoundland and Labrador,Female,51-70,161,49.3,0.8,38,1.1,40.5,1,44.6,0.9,49.3,0.9,54,0.9,58.1,1,60.7,1.2,,,,,,,49.3,,,,,,,,45-65,26.753707189065,4.28997601650102,72.03164752983,4.14689790550898,0.024,<3,,0.016,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Newfoundland and Labrador,Male,71 years and over,96,49.6,1.5,38.3,1.9,40.9,1.7,45.1,1.5,49.8,1.4,54.3,1.4,58.3,1.5,60.8,1.6,,,,,,49.6,,,,,,,,,45-65,24.2462320371342,6.7E,74.6781213607139,6.15270519258907,0.194,F,,0.17,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Newfoundland and Labrador,Female,71 years and over,87,52.5,1,43.1,1.3,45.3,1.2,48.7,1,52.5,1,56.3,1.1,59.6,1.2,61.8,1.3,,,,,,,52.5,,,,,,,,45-65,F,,89.3487898749273,3.42022255372718,0.15,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Newfoundland and Labrador,Male,19 years and over,400,47.1,0.6,35.5,0.8,38.1,0.8,42.3,0.7,46.9,0.7,51.8,0.7,56.2,0.7,58.7,0.8,,,,,,47.1,,,,,,,,,45-65,38.6635818535092,3.66296185162493,60.7824983372336,3.56983894283955,0.006,<3,,0.004,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Newfoundland and Labrador,Female,19 years and over,426,48.1,0.5,38.1,0.8,40.3,0.7,44,0.6,48.1,0.5,52.2,0.6,56,0.7,58.3,0.8,,,,,,,48.1,,,,,,,,45-65,30.4266436145881,3.3606256137412,69.3543537384625,3.35752038898818,<0.001,<3,,<0.001,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Newfoundland and Labrador,Both,1-3,79,56.7,1.1,48.1,1.4,50,1.2,53.1,1.1,56.6,1,60.3,1.1,63.4,1.3,65.2,1.4,,,,,56.7,,,,,,,,,,45-65,F,,93.556472312969,2.73514639340257,,F,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Newfoundland and Labrador,Both,4-8,127,55.7,1,48.6,1.2,50.2,1.1,52.9,1,55.6,1,58.6,1,61.3,1.1,62.8,1.2,,,,,55.7,,,,,,,,,,45-65,F,,98.1768511781158,1.82062618206968,,F,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Newfoundland and Labrador,Male,9-13,111,54.3,1,47.3,1.2,48.7,1.1,51.5,1,54.3,1,57.2,1,59.8,1.1,61.3,1.2,,,,,,54.3,,,,,,,,,45-65,F,,98.0507123501021,1.37901532356882,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Newfoundland and Labrador,Female,9-13,96,54.9,0.9,49.6,1.7,50.7,1.5,52.7,1.1,54.9,0.9,57,1,59,1.3,60.1,1.6,,,,,,,54.9,,,,,,,,45-65,<3,,99.8356107463867,0.756961844276995,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Newfoundland and Labrador,Male,14-18,107,54,1,46.2,1.5,47.9,1.3,50.8,1.1,54,1,57.3,1.1,60.2,1.2,61.9,1.4,,,,,,54,,,,,,,,,45-65,F,,96.1480965187803,2.16854461249356,,F,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Newfoundland and Labrador,Female,14-18,105,54.5,0.9,47.4,1.5,48.9,1.3,51.6,1,54.5,1,57.4,1.1,60,1.4,61.5,1.6,,,,,,,54.5,,,,,,,,45-65,F,,97.7831496810137,1.93679284924011,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Newfoundland and Labrador,Male,19-30,77,49.2,1.1,37.9,1.5,40.5,1.3,44.7,1.1,49.2,1.1,53.7,1.2,57.7,1.4,60.3,1.5,,,,,,49.2,,,,,,,,,45-65,26.1673284798763,5.5E,72.9217907884012,5.27413885596982,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Newfoundland and Labrador,Female,19-30,91,51.7,1.4,45.6,3.7,46.9,3,49.2,2,51.6,1.4,54.2,1.8,56.4,2.8,57.6,3.4,,,,,,,51.7,,,,,,,,45-65,F,,96.5977574576559,6.42474449651437,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Newfoundland and Labrador,Male,31-50,145,47.1,1.1,34.8,1.7,37.5,1.5,42.1,1.3,47.1,1.1,52.1,1.1,56.5,1.2,59,1.4,,,,,,47.1,,,,,,,,,45-65,38.6379438434623,5.95674376360527,60.834898265214,5.80016102054575,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Newfoundland and Labrador,Female,31-50,167,46.6,0.9,36.2,1.3,38.5,1.2,42.4,1,46.5,0.9,50.7,1.1,54.7,1.3,56.9,1.4,,,,,,,46.6,,,,,,,,45-65,40.5442786600526,5.80060517168355,59.2967498528282,5.73253050445429,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Newfoundland and Labrador,Male,51-70,182,48,1.3,36.8,1.5,39.2,1.4,43.3,1.3,47.8,1.3,52.5,1.3,56.8,1.5,59.3,1.5,,,,,,48,,,,,,,,,45-65,33.3867716194814,7.1E,65.8559132590229,6.79683411453452,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Newfoundland and Labrador,Female,51-70,198,50.7,0.9,39.2,1.2,41.7,1.1,46.1,1,50.8,0.9,55.4,1,59.6,1.1,62.2,1.2,,,,,,,50.7,,,,,,,,45-65,20.4364138086749,4.0E,77.5144130742881,3.77426774943671,,F,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Newfoundland and Labrador,Male,71 years and over,63,50.6,1.5,39.2,2,41.8,1.8,46.1,1.6,50.6,1.5,55.3,1.4,59.3,1.5,61.7,1.6,,,,,,50.6,,,,,,,,,45-65,20.0303190859949,6.0E,78.4256592237218,5.26749738691178,,F,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Newfoundland and Labrador,Female,71 years and over,74,53.6,1,44.5,1.4,46.3,1.3,49.8,1.1,53.5,1.1,57.4,1.1,60.8,1.2,62.9,1.2,,,,,,,53.6,,,,,,,,45-65,F,,91.8087851650446,2.77738984467638,,F,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Newfoundland and Labrador,Male,19 years and over,467,48.3,0.7,36.6,0.8,39.2,0.8,43.5,0.7,48.3,0.7,53.1,0.7,57.5,0.7,60,0.8,,,,,,48.3,,,,,,,,,45-65,32.3821709033076,3.61590945469272,66.6178347905322,3.51668437601811,,0.999994306160112,0.3E,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Newfoundland and Labrador,Female,19 years and over,530,49.8,0.6,39.8,0.8,42,0.7,45.7,0.6,49.9,0.6,53.9,0.6,57.7,0.7,59.9,0.8,,,,,,,49.8,,,,,,,,45-65,21.148362185858,3.03170177059467,78.2106579881496,3.02228327670555,,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Prince Edward Island,Both,1-3,77,53,0.8,44.6,1.2,46.5,1.1,49.4,0.9,53,0.8,56.5,0.8,59.5,1,61.4,1.1,,,,,53,,,,,,,,,,45-65,F,,93.4529475973065,3.00077153850448,0.492,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Prince Edward Island,Both,4-8,86,55.7,0.7,48.6,1,50.2,0.9,52.8,0.8,55.7,0.7,58.6,0.7,61.1,0.8,62.7,0.9,,,,,55.7,,,,,,,,,,45-65,<3,,97.8466878723149,1.12273451732883,0.549,F,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Prince Edward Island,Male,9-13,72,53.4,1,46.5,1.1,48.1,1.1,50.5,1,53.4,1,56.3,1,58.9,1.1,60.6,1.2,,,,,,53.4,,,,,,,,,45-65,F,,97.4234868412458,1.6718841950505,0.246,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Prince Edward Island,Female,9-13,79,53.2,1.1,48,1.8,49.2,1.5,51.2,1.2,53.2,1.1,55.4,1.2,57.3,1.5,58.5,1.7,,,,,,,53.2,,,,,,,,45-65,<3,,99.4637803986805,1.24233350061884,0.346,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Prince Edward Island,Male,14-18,57,49.5,1,41.8,1.4,43.6,1.2,46.3,1.1,49.5,1,52.7,1,55.5,1.2,57.2,1.3,,,,,,49.5,,,,,,,,,45-65,F,,83.2828130966012,5.91058428783282,0.034,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Prince Edward Island,Female,14-18,71,52.5,0.9,45.5,1.6,47.1,1.4,49.6,1.1,52.5,0.9,55.5,1.1,57.9,1.3,59.5,1.5,,,,,,,52.5,,,,,,,,45-65,F,,96.1526576405828,3.26495936924426,0.299,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Prince Edward Island,Male,19-30,45,45.3,1.4,34.1,1.7,36.4,1.6,40.9,1.5,45.2,1.4,49.8,1.5,53.8,1.7,56.5,1.8,,,,,,45.3,,,,,,,,,45-65,48.2482767090407,8.5E,51.493340318075,8.33966463048638,0.002,<3,,0.002,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Prince Edward Island,Female,19-30,58,49.3,1.2,43.2,3.7,44.7,3,46.8,2,49.3,1.2,51.8,1.5,53.9,2.5,55.3,3.1,,,,,,,49.3,,,,,,,,45-65,F,,89.0283640152967,11.0217442671502,0.131,<3,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Prince Edward Island,Male,31-50,97,47.7,1.1,35.3,1.4,38.3,1.3,42.8,1.1,47.8,1.1,52.7,1.3,57,1.4,59.6,1.6,,,,,,47.7,,,,,,,,,45-65,35.2750234882463,6.0E,63.9728504776547,5.78988629740859,0.369,<3,,0.352,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Prince Edward Island,Female,31-50,116,50.2,1,39.7,1.5,42.1,1.3,45.9,1.1,50.3,1,54.4,1,58.2,1.2,60.5,1.3,,,,,,,50.2,,,,,,,,45-65,20.5440657417024,5.1E,78.5456848086024,5.12658287191556,0.148,<3,,0.159,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Prince Edward Island,Male,51-70,116,46.6,0.8,35.6,1.1,37.8,1,41.8,0.9,46.6,0.8,51.3,0.9,55.2,1.1,57.8,1.2,,,,,,46.6,,,,,,,,,45-65,41.0497142764217,4.80047462130415,58.6294822399627,4.70131878870825,0.437,<3,,0.423,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Prince Edward Island,Female,51-70,129,48.2,0.8,37.1,1.1,39.6,1,43.7,0.9,48.1,0.8,52.8,0.9,57.2,1.1,59.5,1.2,,,,,,,48.2,,,,,,,,45-65,32.0102979764912,4.53270555882606,67.0657521538737,4.39517976653719,0.015,<3,,0.014,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Prince Edward Island,Male,71 years and over,55,49.9,0.9,38.3,1.1,41.2,1,45.4,0.9,50,0.9,54.6,1.1,58.4,1.1,60.9,1.3,,,,,,49.9,,,,,,,,,45-65,23.8642451375355,4.1E,74.8783261742473,3.95914277880017,0.115,<3,,0.097,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Prince Edward Island,Female,71 years and over,68,49.3,0.9,40.1,1.2,42.1,1.1,45.5,0.9,49.2,0.9,53.1,0.9,56.4,1,58.5,1.1,,,,,,,49.3,,,,,,,,45-65,22.2201180990929,5.0E,77.6914491492002,4.93678055508442,0.01,<3,,0.008,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Prince Edward Island,Male,19 years and over,313,46.7,0.6,35.2,0.7,37.7,0.7,42,0.6,46.7,0.6,51.5,0.6,55.7,0.7,58.4,0.7,,,,,,46.7,,,,,,,,,45-65,40.6455587938115,3.31477972771049,58.8150179518256,3.2506719245194,0.001,<3,,0.003,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2015,Prince Edward Island,Female,19 years and over,371,49.1,0.5,39.1,0.8,41.3,0.7,44.9,0.6,49.1,0.5,53.3,0.5,57,0.6,59.3,0.7,,,,,,,49.1,,,,,,,,45-65,25.3356049696659,3.05399043411389,74.1717844448228,3.06019739533611,<0.001,<3,,<0.001,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Prince Edward Island,Both,1-3,58,55.2,0.8,46.5,1.2,48.5,1.1,51.8,0.9,55.2,0.8,58.7,0.8,61.9,1,63.7,1.1,,,,,55.2,,,,,,,,,,45-65,F,,94.6485787916398,2.15533405351024,,F,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Prince Edward Island,Both,4-8,110,56.3,0.8,49.1,1,50.7,0.9,53.4,0.8,56.4,0.8,59.3,0.8,61.8,0.9,63.3,1,,,,,56.3,,,,,,,,,,45-65,<3,,97.5472765983216,1.24074296953742,,F,,,,,,,,,,,,
Percentage of total energy intake from carbohydrates,2004,Prince Edward Island,Male,9-13,95,54.6,0.9,47.7,1.1,49.3,1,51.8,1,54.6,0.9,57.3,1,59.8,1.1,61.4,1.2,,,,,,54.6,,,,,,,,,45-65,<3,,98.4567166721737,1.41836642774014,,<3,,,,,,,,,,,,
