Nutrient/Item (unit),Year,Reg_Prov,Sex,Age (years),n,Mean,SE_Mean,P5,P5_SE,P10,P10_SE,P25,P25_SE,P50,P50_SE,P75,P75_SE,P90,P90_SE,P95,P95_SE,AI,% >AI,%>AI_SE,p-value_%>AI,UL,% >UL,%>UL_SE,p-value_%>UL,EAR,% <EAR,%<EAR_SE,p-value_%<EAR,AMDR,%<AMDR,%<AMDR_SE,p-value_%<AMDR,%withinAMDR,%withinAMDR_SE,p-value_%withinAMDR,%>AMDR,%>AMDR_SE,p-value_%>AMDR,Male,Female,Both
Percentage of total energy intake from monounsaturated fats,2004,Manitoba,Female,71 years and over,239,11.5,0.3,8.5,0.4,9.2,0.4,10.2,0.3,11.5,0.3,12.8,0.4,13.9,0.4,14.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,11.5,
Percentage of total energy intake from monounsaturated fats,2004,Manitoba,Male,19 years and over,971,12.9,0.2,9.1,0.3,9.9,0.3,11.2,0.2,12.8,0.2,14.4,0.3,15.9,0.3,16.9,0.4,,,,,,,,,,,,,,,,,,,,,,,12.9,,
Percentage of total energy intake from monounsaturated fats,2004,Manitoba,Female,19 years and over,1060,12.2,0.2,8.9,0.3,9.6,0.2,10.7,0.2,12.1,0.2,13.6,0.2,14.9,0.3,15.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,12.2,
Naturally occurring folate (mcg/d),2015,Manitoba,Both,1-3,108,119.0,7.0,50,5,62.0,6,83.0,6.0,113.0,7.0,147.0,8.0,184.0,11.0,207.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,119.0
Naturally occurring folate (mcg/d),2015,Manitoba,Both,4-8,86,149.0,6.0,88,8,99.0,7,119.0,6.0,144.0,6.0,174.0,7.0,206.0,10.0,228.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,149.0
Naturally occurring folate (mcg/d),2015,Manitoba,Male,9-13,59,159.0,7.0,89,6,102.0,6,122.0,6.0,153.0,7.0,189.0,8.0,227.0,10.0,253.0,12.0,,,,,,,,,,,,,,,,,,,,,,,159.0,,
Naturally occurring folate (mcg/d),2015,Manitoba,Female,9-13,75,155.0,8.0,96,8,106.0,8,125.0,7.0,151.0,8.0,180.0,9.0,209.0,12.0,233.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,155.0,
Naturally occurring folate (mcg/d),2015,Manitoba,Male,14-18,72,205.0,10.0,103,9,119.0,9,152.0,9.0,196.0,10.0,248.0,12.0,303.0,16.0,339.0,19.0,,,,,,,,,,,,,,,,,,,,,,,205.0,,
Naturally occurring folate (mcg/d),2015,Manitoba,Female,14-18,66,165.0,7.0,82,7,96.0,7,122.0,7.0,158.0,7.0,200.0,8.0,246.0,11.0,281.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,165.0,
Naturally occurring folate (mcg/d),2015,Manitoba,Male,19-30,68,215.0,16.0,97,12,116.0,12,155.0,13.0,204.0,16.0,264.0,19.0,328.0,25.0,373.0,29.0,,,,,,,,,,,,,,,,,,,,,,,215.0,,
Naturally occurring folate (mcg/d),2015,Manitoba,Female,19-30,66,186.0,12.0,104,9,117.0,10,143.0,10.0,179.0,12.0,222.0,15.0,261.0,19.0,295.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,186.0,
Naturally occurring folate (mcg/d),2015,Manitoba,Male,31-50,104,230.0,11.0,124,10,144.0,10,179.0,10.0,219.0,11.0,273.0,14.0,329.0,18.0,366.0,22.0,,,,,,,,,,,,,,,,,,,,,,,230.0,,
Naturally occurring folate (mcg/d),2015,Manitoba,Female,31-50,147,177.0,8.0,92,9,106.0,9,132.0,9.0,167.0,9.0,211.0,10.0,260.0,14.0,292.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,177.0,
Naturally occurring folate (mcg/d),2015,Manitoba,Male,51-70,144,211.0,9.0,103,7,121.0,7,155.0,8.0,201.0,9.0,256.0,11.0,311.0,14.0,352.0,17.0,,,,,,,,,,,,,,,,,,,,,,,211.0,,
Naturally occurring folate (mcg/d),2015,Manitoba,Female,51-70,138,204.0,8.0,101,8,118.0,7,150.0,7.0,194.0,8.0,246.0,9.0,299.0,13.0,342.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,204.0,
Naturally occurring folate (mcg/d),2015,Manitoba,Male,71 years and over,80,189.0,10.0,93,7,109.0,7,136.0,8.0,176.0,10.0,229.0,13.0,287.0,16.0,327.0,20.0,,,,,,,,,,,,,,,,,,,,,,,189.0,,
Naturally occurring folate (mcg/d),2015,Manitoba,Female,71 years and over,113,164.0,7.0,81,5,94.0,5,120.0,6.0,155.0,7.0,198.0,8.0,246.0,11.0,277.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,164.0,
Naturally occurring folate (mcg/d),2015,Manitoba,Male,19 years and over,396,216.0,5.0,107,5,125.0,5,158.0,5.0,206.0,6.0,261.0,7.0,321.0,8.0,357.0,10.0,,,,,,,,,,,,,,,,,,,,,,,216.0,,
Naturally occurring folate (mcg/d),2015,Manitoba,Female,19 years and over,464,186.0,4.0,91,4,106.0,4,135.0,4.0,176.0,4.0,225.0,6.0,278.0,8.0,313.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,186.0,
Naturally occurring folate (mcg/d),2004,Manitoba,Both,1-3,324,126.0,6.0,54,6,67.0,6,90.0,6.0,120.0,6.0,157.0,8.0,194.0,10.0,220.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,126.0
Naturally occurring folate (mcg/d),2004,Manitoba,Both,4-8,425,160.0,6.0,95,8,106.0,7,127.0,6.0,154.0,6.0,187.0,7.0,221.0,11.0,244.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,160.0
Naturally occurring folate (mcg/d),2004,Manitoba,Male,9-13,274,188.0,7.0,106,7,119.0,7,145.0,7.0,180.0,7.0,222.0,9.0,267.0,11.0,299.0,14.0,,,,,,,,,,,,,,,,,,,,,,,188.0,,
Naturally occurring folate (mcg/d),2004,Manitoba,Female,9-13,265,173.0,9.0,108,8,119.0,8,141.0,8.0,169.0,9.0,201.0,11.0,233.0,14.0,255.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,173.0,
Naturally occurring folate (mcg/d),2004,Manitoba,Male,14-18,297,226.0,10.0,119,9,136.0,9,169.0,9.0,215.0,10.0,270.0,12.0,329.0,17.0,371.0,20.0,,,,,,,,,,,,,,,,,,,,,,,226.0,,
Naturally occurring folate (mcg/d),2004,Manitoba,Female,14-18,290,181.0,8.0,91,7,106.0,7,134.0,7.0,172.0,8.0,218.0,9.0,266.0,12.0,301.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,181.0,
Naturally occurring folate (mcg/d),2004,Manitoba,Male,19-30,249,243.0,16.0,116,12,135.0,12,175.0,13.0,230.0,16.0,296.0,20.0,367.0,25.0,414.0,30.0,,,,,,,,,,,,,,,,,,,,,,,243.0,,
Naturally occurring folate (mcg/d),2004,Manitoba,Female,19-30,197,189.0,12.0,105,10,119.0,10,146.0,11.0,182.0,12.0,224.0,14.0,267.0,17.0,297.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,189.0,
Naturally occurring folate (mcg/d),2004,Manitoba,Male,31-50,309,248.0,11.0,137,11,156.0,10,192.0,10.0,238.0,11.0,294.0,13.0,352.0,18.0,391.0,22.0,,,,,,,,,,,,,,,,,,,,,,,248.0,,
Naturally occurring folate (mcg/d),2004,Manitoba,Female,31-50,312,187.0,9.0,100,10,114.0,9,141.0,9.0,179.0,9.0,224.0,11.0,272.0,15.0,303.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,187.0,
Naturally occurring folate (mcg/d),2004,Manitoba,Male,51-70,277,238.0,10.0,121,8,141.0,8,178.0,8.0,227.0,10.0,287.0,12.0,349.0,16.0,390.0,19.0,,,,,,,,,,,,,,,,,,,,,,,238.0,,
Naturally occurring folate (mcg/d),2004,Manitoba,Female,51-70,312,231.0,9.0,116,7,135.0,7,172.0,8.0,220.0,9.0,279.0,11.0,341.0,15.0,382.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,231.0,
Naturally occurring folate (mcg/d),2004,Manitoba,Male,71 years and over,136,211.0,12.0,104,7,119.0,8,151.0,10.0,196.0,12.0,253.0,15.0,320.0,19.0,363.0,22.0,,,,,,,,,,,,,,,,,,,,,,,211.0,,
Naturally occurring folate (mcg/d),2004,Manitoba,Female,71 years and over,239,189.0,8.0,97,6,112.0,6,141.0,7.0,181.0,8.0,228.0,9.0,276.0,12.0,310.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,189.0,
Naturally occurring folate (mcg/d),2004,Manitoba,Male,19 years and over,971,239.0,6.0,120,5,140.0,5,178.0,5.0,228.0,6.0,290.0,7.0,353.0,9.0,396.0,11.0,,,,,,,,,,,,,,,,,,,,,,,239.0,,
Naturally occurring folate (mcg/d),2004,Manitoba,Female,19 years and over,1060,202.0,5.0,102,5,118.0,5,149.0,4.0,191.0,5.0,243.0,6.0,298.0,8.0,336.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,202.0,
Linoleic fatty acid (g/d),2015,Manitoba,Both,1-3,108,6.6,0.3,3.6,0.3,4.2,0.3,5.1,0.3,6.4,0.3,7.9,0.4,9.4,0.5,10.4,0.5,7.0,39,6,8.966395093189971e-06,,,,,,,,,,,,,,,,,,,,,6.6
Linoleic fatty acid (g/d),2015,Manitoba,Both,4-8,86,9.2,0.5,6.2,0.6,6.8,0.6,7.8,0.5,9.0,0.5,10.4,0.6,11.7,0.8,12.6,0.9,10.0,31,9.4E,0.013999999999999999,,,,,,,,,,,,,,,,,,,,,9.2
Linoleic fatty acid (g/d),2015,Manitoba,Male,9-13,59,12.0,0.7,7,0.7,8.0,0.7,9.4,0.6,11.5,0.7,14.1,0.8,16.8,1.0,18.6,1.3,12.0,44.5,7.4,0.7785332587,,,,,,,,,,,,,,,,,,,12.0,,
Linoleic fatty acid (g/d),2015,Manitoba,Female,9-13,75,11.4,0.6,7.1,0.5,7.8,0.5,9.2,0.5,11.1,0.6,13.2,0.7,15.4,0.9,17.1,1.1,10.0,64.8,7.3,0.0019812644,,,,,,,,,,,,,,,,,,,,11.4,
Linoleic fatty acid (g/d),2015,Manitoba,Male,14-18,72,14.9,0.7,8.6,0.8,9.7,0.8,11.7,0.7,14.4,0.7,17.5,0.9,20.6,1.3,22.6,1.7,16.0,36.2,6.4E,0.0052676091,,,,,,,,,,,,,,,,,,,14.9,,
Linoleic fatty acid (g/d),2015,Manitoba,Female,14-18,66,12.2,0.6,7.1,0.6,8.1,0.6,9.7,0.6,11.8,0.6,14.3,0.7,16.9,0.9,18.8,1.2,11.0,59.5,6.9,0.0007524524,,,,,,,,,,,,,,,,,,,,12.2,
Linoleic fatty acid (g/d),2015,Manitoba,Male,19-30,68,16.2,1.4,7.7,1.5E,9.1,1.4,11.9,1.4,15.4,1.4,19.7,1.7,24.3,2.2,27.4,2.7,17.0,39.2,9.9E,0.102,,,,,,,,,,,,,,,,,,,16.2,,
Linoleic fatty acid (g/d),2015,Manitoba,Female,19-30,66,9.9,1.0,5.1,0.9E,5.9,0.9,7.4,1.0,9.4,1.0,11.9,1.2,14.2,1.5,16.2,1.8,12.0,F,,0.022000000000000002,,,,,,,,,,,,,,,,,,,,9.9,
Linoleic fatty acid (g/d),2015,Manitoba,Male,31-50,104,14.6,0.7,7.9,0.8,9.2,0.7,11.4,0.7,14.0,0.7,17.4,0.9,20.9,1.2,23.3,1.5,17.0,27.5,5.4E,0.000201906,,,,,,,,,,,,,,,,,,,14.6,,
Linoleic fatty acid (g/d),2015,Manitoba,Female,31-50,147,10.2,0.7,5.3,0.8,6.1,0.8,7.6,0.7,9.7,0.7,12.2,0.9,15.0,1.3,16.9,1.6,12.0,26.9,7.3E,0.002,,,,,,,,,,,,,,,,,,,,10.2,
Linoleic fatty acid (g/d),2015,Manitoba,Male,51-70,144,14.1,0.7,6.2,0.6,7.5,0.6,9.9,0.6,13.2,0.7,17.3,0.9,21.6,1.2,24.8,1.5,14.0,44.8,5.3,0.0,,,,,,,,,,,,,,,,,,,14.1,,
Linoleic fatty acid (g/d),2015,Manitoba,Female,51-70,138,11.7,0.5,6.6,0.6,7.5,0.5,9.1,0.5,11.3,0.5,13.8,0.6,16.4,0.9,18.3,1.1,11.0,53.8,5.7,0.0,,,,,,,,,,,,,,,,,,,,11.7,
Linoleic fatty acid (g/d),2015,Manitoba,Male,71 years and over,80,12.0,0.6,6,0.5,7.0,0.5,8.8,0.5,11.3,0.6,14.5,0.7,17.9,0.9,20.1,1.1,14.0,28.6,4.5,0.0001139555,,,,,,,,,,,,,,,,,,,12.0,,
Linoleic fatty acid (g/d),2015,Manitoba,Female,71 years and over,113,9.2,0.4,5.3,0.5,6.0,0.5,7.2,0.4,8.8,0.4,10.7,0.5,12.8,0.8,14.1,0.9,11.0,22.4,5.4E,0.0,,,,,,,,,,,,,,,,,,,,9.2,
Linoleic fatty acid (g/d),2015,Manitoba,Male,19 years and over,396,14.5,5.9,7.1,2.4,8.3,3,10.6,4.1,13.8,5.6,17.6,7.3,21.7,9.3,24.2,10.5,,,,,,,,,,,,,,,,,,,,,,,14.5,,
Linoleic fatty acid (g/d),2015,Manitoba,Female,19 years and over,464,10.5,0.3,5.5,0.3,6.3,0.3,7.9,0.3,10.0,0.3,12.5,0.4,15.2,0.6,17.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,10.5,
Linoleic fatty acid (g/d),2004,Manitoba,Both,1-3,324,5.6,0.3,2.9,0.3,3.4,0.3,4.3,0.3,5.4,0.3,6.8,0.3,8.1,0.4,9.1,0.5,7.0,21.5,4.6E,,,,,,,,,,,,,,,,,,,,,,5.6
Linoleic fatty acid (g/d),2004,Manitoba,Both,4-8,425,8.3,0.4,5.6,0.6,6.1,0.5,7.0,0.5,8.2,0.4,9.5,0.5,10.8,0.7,11.6,0.8,10.0,17.3,7 F,,,,,,,,,,,,,,,,,,,,,,8.3
Linoleic fatty acid (g/d),2004,Manitoba,Male,9-13,274,11.9,0.7,6.9,0.7,7.8,0.6,9.3,0.6,11.4,0.7,14.0,0.8,16.7,1.1,18.7,1.4,12.0,43.3,7.6E,,,,,,,,,,,,,,,,,,,,11.9,,
Linoleic fatty acid (g/d),2004,Manitoba,Female,9-13,265,10.2,0.5,6.2,0.5,6.9,0.5,8.2,0.4,9.9,0.5,11.9,0.6,13.9,0.7,15.3,0.9,10.0,48.9,7,,,,,,,,,,,,,,,,,,,,,10.2,
Linoleic fatty acid (g/d),2004,Manitoba,Male,14-18,297,13.3,0.7,7.8,0.7,8.8,0.7,10.5,0.6,12.9,0.7,15.6,0.8,18.5,1.2,20.6,1.4,16.0,22.5,5.8E,,,,,,,,,,,,,,,,,,,,13.3,,
Linoleic fatty acid (g/d),2004,Manitoba,Female,14-18,290,10.8,0.5,6.1,0.5,6.9,0.5,8.4,0.5,10.4,0.5,12.7,0.6,15.0,0.8,16.7,1.0,11.0,42.2,6.4,,,,,,,,,,,,,,,,,,,,,10.8,
Linoleic fatty acid (g/d),2004,Manitoba,Male,19-30,249,14.6,1.3,7,1.1,8.1,1.2,10.5,1.2,13.8,1.2,17.7,1.6,22.1,2.1,24.9,2.6,17.0,28.9,8.5E,,,,,,,,,,,,,,,,,,,,14.6,,
Linoleic fatty acid (g/d),2004,Manitoba,Female,19-30,197,8.2,0.9,4.1,0.7E,4.8,0.7,6.1,0.7,7.9,0.8,10.0,1.0,12.1,1.3,13.7,1.5,12.0,F,,,,,,,,,,,,,,,,,,,,,,8.2,
Linoleic fatty acid (g/d),2004,Manitoba,Male,31-50,309,12.5,0.6,6.6,0.7,7.6,0.6,9.5,0.6,12.0,0.6,15.0,0.7,18.1,1.1,20.3,1.4,17.0,14.2,4.1E,,,,,,,,,,,,,,,,,,,,12.5,,
Linoleic fatty acid (g/d),2004,Manitoba,Female,31-50,312,8.5,0.6,4.4,0.7,5.1,0.7,6.4,0.6,8.1,0.6,10.3,0.7,12.6,1.0,14.1,1.3,12.0,F,,,,,,,,,,,,,,,,,,,,,,8.5,
Linoleic fatty acid (g/d),2004,Manitoba,Male,51-70,277,11.6,0.6,5,0.5,6.0,0.5,8.0,0.6,10.9,0.6,14.4,0.8,18.2,1.0,20.8,1.2,14.0,27.2,4.3,,,,,,,,,,,,,,,,,,,,11.6,,
Linoleic fatty acid (g/d),2004,Manitoba,Female,51-70,312,10.0,0.5,5.3,0.5,6.1,0.5,7.6,0.5,9.6,0.5,11.9,0.6,14.3,0.8,15.9,1.0,11.0,33.8,5.3,,,,,,,,,,,,,,,,,,,,,10.0,
Linoleic fatty acid (g/d),2004,Manitoba,Male,71 years and over,136,10.2,0.5,4.8,0.4,5.7,0.4,7.3,0.5,9.6,0.5,12.4,0.6,15.6,0.8,17.5,1.0,14.0,16.4,3.5E,,,,,,,,,,,,,,,,,,,,10.2,,
Linoleic fatty acid (g/d),2004,Manitoba,Female,71 years and over,239,7.8,0.4,4.5,0.4,5.0,0.4,6.1,0.4,7.5,0.4,9.1,0.5,10.8,0.6,12.0,0.8,11.0,F,,,,,,,,,,,,,,,,,,,,,,7.8,
Linoleic fatty acid (g/d),2004,Manitoba,Male,19 years and over,971,12.5,5.0,5.9,2,7.0,2.4,9.0,3.4,11.9,4.7,15.4,6.3,19.0,8.1,21.6,9.4,,,,,,,,,,,,,,,,,,,,,,,12.5,,
Linoleic fatty acid (g/d),2004,Manitoba,Female,19 years and over,1060,8.9,0.3,4.6,0.3,5.3,0.3,6.6,0.3,8.4,0.3,10.6,0.4,13.0,0.5,14.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,8.9,
Folacin (mcg/d),2015,Manitoba,Both,1-3,108,200.0,8.0,108,8,125.0,8,155.0,8.0,195.0,8.0,239.0,9.0,284.0,12.0,313.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,200.0
Folacin (mcg/d),2015,Manitoba,Both,4-8,86,273.0,9.0,197,25,213.0,21,238.0,14.0,270.0,9.0,305.0,14.0,339.0,24.0,362.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,273.0
Folacin (mcg/d),2015,Manitoba,Male,9-13,59,300.0,11.0,177,13,201.0,12,238.0,12.0,291.0,11.0,353.0,13.0,414.0,17.0,455.0,22.0,,,,,,,,,,,,,,,,,,,,,,,300.0,,
Folacin (mcg/d),2015,Manitoba,Female,9-13,75,314.0,15.0,223,18,240.0,17,270.0,15.0,310.0,15.0,352.0,18.0,392.0,22.0,423.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,314.0,
Folacin (mcg/d),2015,Manitoba,Male,14-18,72,384.0,18.0,220,19,248.0,19,303.0,17.0,373.0,17.0,452.0,21.0,533.0,28.0,584.0,34.0,,,,,,,,,,,,,,,,,,,,,,,384.0,,
Folacin (mcg/d),2015,Manitoba,Female,14-18,66,287.0,11.0,154,12,178.0,12,221.0,11.0,278.0,11.0,341.0,13.0,410.0,17.0,459.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,287.0,
Folacin (mcg/d),2015,Manitoba,Male,19-30,68,392.0,25.0,208,23,240.0,23,302.0,23.0,379.0,25.0,468.0,30.0,560.0,38.0,622.0,45.0,,,,,,,,,,,,,,,,,,,,,,,392.0,,
Folacin (mcg/d),2015,Manitoba,Female,19-30,66,295.0,19.0,165,15,188.0,15,228.0,16.0,285.0,18.0,351.0,23.0,409.0,28.0,459.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,295.0,
Folacin (mcg/d),2015,Manitoba,Male,31-50,104,385.0,18.0,219,19,252.0,18,308.0,17.0,371.0,18.0,453.0,21.0,536.0,27.0,590.0,33.0,,,,,,,,,,,,,,,,,,,,,,,385.0,,
Folacin (mcg/d),2015,Manitoba,Female,31-50,147,268.0,12.0,149,13,169.0,13,207.0,12.0,257.0,13.0,317.0,14.0,382.0,19.0,424.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,268.0,
Folacin (mcg/d),2015,Manitoba,Male,51-70,144,333.0,12.0,191,13,217.0,12,265.0,12.0,324.0,12.0,392.0,15.0,457.0,18.0,504.0,22.0,,,,,,,,,,,,,,,,,,,,,,,333.0,,
Folacin (mcg/d),2015,Manitoba,Female,51-70,138,289.0,10.0,164,11,186.0,10,226.0,10.0,281.0,10.0,342.0,12.0,402.0,15.0,448.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,289.0,
Folacin (mcg/d),2015,Manitoba,Male,71 years and over,80,298.0,14.0,175,12,198.0,12,236.0,12.0,288.0,14.0,351.0,17.0,413.0,20.0,454.0,23.0,,,,,,,,,,,,,,,,,,,,,,,298.0,,
Folacin (mcg/d),2015,Manitoba,Female,71 years and over,113,247.0,9.0,141,8,159.0,8,194.0,8.0,238.0,9.0,290.0,10.0,345.0,14.0,379.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,247.0,
Folacin (mcg/d),2015,Manitoba,Male,19 years and over,396,360.0,9.0,200,8,228.0,9,279.0,8.0,348.0,9.0,426.0,10.0,508.0,13.0,557.0,15.0,,,,,,,,,,,,,,,,,,,,,,,360.0,,
Folacin (mcg/d),2015,Manitoba,Female,19 years and over,464,277.0,6.0,149,6,171.0,6,212.0,6.0,267.0,6.0,330.0,8.0,397.0,10.0,440.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,277.0,
Folacin (mcg/d),2004,Manitoba,Both,1-3,324,216.0,8.0,118,8,136.0,7,169.0,7.0,210.0,8.0,257.0,10.0,305.0,14.0,336.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,216.0
Folacin (mcg/d),2004,Manitoba,Both,4-8,425,286.0,9.0,207,25,222.0,21,249.0,14.0,282.0,10.0,318.0,15.0,355.0,26.0,378.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,286.0
Folacin (mcg/d),2004,Manitoba,Male,9-13,274,333.0,11.0,198,13,222.0,12,265.0,11.0,322.0,11.0,390.0,14.0,459.0,20.0,507.0,26.0,,,,,,,,,,,,,,,,,,,,,,,333.0,,
Folacin (mcg/d),2004,Manitoba,Female,9-13,265,324.0,15.0,230,18,247.0,16,280.0,15.0,320.0,15.0,364.0,18.0,405.0,22.0,432.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,324.0,
Folacin (mcg/d),2004,Manitoba,Male,14-18,297,409.0,17.0,243,18,273.0,17,326.0,17.0,397.0,17.0,479.0,21.0,563.0,27.0,621.0,33.0,,,,,,,,,,,,,,,,,,,,,,,409.0,,
Folacin (mcg/d),2004,Manitoba,Female,14-18,290,323.0,12.0,178,13,204.0,13,251.0,12.0,312.0,12.0,383.0,14.0,454.0,17.0,504.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,323.0,
Folacin (mcg/d),2004,Manitoba,Male,19-30,249,446.0,26.0,248,24,281.0,23,345.0,23.0,431.0,26.0,529.0,31.0,632.0,42.0,698.0,49.0,,,,,,,,,,,,,,,,,,,,,,,446.0,,
Folacin (mcg/d),2004,Manitoba,Female,19-30,197,316.0,21.0,179,17,203.0,17,249.0,18.0,307.0,20.0,373.0,25.0,440.0,30.0,485.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,316.0,
Folacin (mcg/d),2004,Manitoba,Male,31-50,309,423.0,18.0,247,19,279.0,18,337.0,17.0,409.0,18.0,495.0,21.0,582.0,28.0,640.0,34.0,,,,,,,,,,,,,,,,,,,,,,,423.0,,
Folacin (mcg/d),2004,Manitoba,Female,31-50,312,292.0,13.0,167,14,188.0,13,229.0,13.0,282.0,13.0,345.0,15.0,410.0,20.0,451.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,292.0,
Folacin (mcg/d),2004,Manitoba,Male,51-70,277,360.0,13.0,212,13,239.0,12,288.0,12.0,351.0,13.0,421.0,16.0,492.0,20.0,537.0,23.0,,,,,,,,,,,,,,,,,,,,,,,360.0,,
Folacin (mcg/d),2004,Manitoba,Female,51-70,312,328.0,11.0,187,11,212.0,11,259.0,10.0,318.0,11.0,386.0,14.0,455.0,18.0,499.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,328.0,
Folacin (mcg/d),2004,Manitoba,Male,71 years and over,136,313.0,16.0,183,12,205.0,12,248.0,13.0,303.0,15.0,366.0,18.0,434.0,22.0,475.0,25.0,,,,,,,,,,,,,,,,,,,,,,,313.0,,
Folacin (mcg/d),2004,Manitoba,Female,71 years and over,239,263.0,9.0,154,8,173.0,8,209.0,8.0,256.0,9.0,309.0,11.0,361.0,13.0,398.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,263.0,
Folacin (mcg/d),2004,Manitoba,Male,19 years and over,971,398.0,9.0,224,8,255.0,9,312.0,8.0,386.0,9.0,472.0,12.0,557.0,14.0,615.0,17.0,,,,,,,,,,,,,,,,,,,,,,,398.0,,
Folacin (mcg/d),2004,Manitoba,Female,19 years and over,1060,305.0,7.0,170,6,193.0,6,236.0,6.0,294.0,7.0,362.0,8.0,431.0,11.0,478.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,305.0,
Cholesterol (mg/d),2015,Manitoba,Both,1-3,108,153.15,8.94,63.33,8.52,78.32,8.18,105.49,8.21,144.79,8.8,190.35,11.36,240.64,15.66,273.74,19.17,,,,,,,,,,,,,,,,,,,,,,,,,153.15
Cholesterol (mg/d),2015,Manitoba,Both,4-8,86,179.0,10.45,103.55,15.72,117.46,14.52,141.91,12.16,173.53,10.73,209.94,12.93,248.5,19.09,273.89,24.39,,,,,,,,,,,,,,,,,,,,,,,,,179.0
Cholesterol (mg/d),2015,Manitoba,Male,9-13,59,219.67,13.98,128.38,19.37,145.98,17.61,173.15,15.48,212.79,13.94,258.59,16.58,304.61,23.03,335.22,28.35,,,,,,,,,,,,,,,,,,,,,,,219.67,,
Cholesterol (mg/d),2015,Manitoba,Female,9-13,75,199.56,11.59,119.2,10.95,133.25,10.8,158.25,10.96,193.81,11.55,233.51,14.06,273.31,18.14,304.67,21.37,,,,,,,,,,,,,,,,,,,,,,,,199.56,
Cholesterol (mg/d),2015,Manitoba,Male,14-18,72,305.03,24.19,135.25,18.63,160.04,19.89,213.03,20.95,286.57,23.42,376.03,28.77,473.04,36.63,536.96,43.16,,,,,,,,,,,,,,,,,,,,,,,305.03,,
Cholesterol (mg/d),2015,Manitoba,Female,14-18,66,208.61,12.0,106.89,12.52,124.4,12.15,156.08,11.34,199.69,11.88,250.08,14.89,305.59,21.22,346.61,27.67,,,,,,,,,,,,,,,,,,,,,,,,208.61,
Cholesterol (mg/d),2015,Manitoba,Male,19-30,68,369.42,33.27,157.44,29E,191.26,28.49,260.55,28.19,350.01,32.13,457.52,42.51,572.89,58.14,652.14,71.09,,,,,,,,,,,,,,,,,,,,,,,369.42,,
Cholesterol (mg/d),2015,Manitoba,Female,19-30,66,213.2,16.05,120.3,19.25,136.3,18.26,165.33,16.99,206.24,16.09,253.55,19.11,295.85,26.28,331.93,32.09,,,,,,,,,,,,,,,,,,,,,,,,213.2,
Cholesterol (mg/d),2015,Manitoba,Male,31-50,104,314.79,19.14,138.26,19.68,168.88,18.93,225.12,18.49,292.84,18.96,387.35,24.04,487.09,34.97,555.61,44.39,,,,,,,,,,,,,,,,,,,,,,,314.79,,
Cholesterol (mg/d),2015,Manitoba,Female,31-50,147,217.44,15.49,85.31,15E,105.36,14.69,145.46,14.73,200.81,15.47,272.44,19.26,351.0,27.22,404.14,33.99,,,,,,,,,,,,,,,,,,,,,,,,217.44,
Cholesterol (mg/d),2015,Manitoba,Male,51-70,144,281.71,16.65,133.93,17.54,159.32,17.1,206.6,16.43,269.29,16.65,343.55,19.96,417.94,26.56,471.81,31.95,,,,,,,,,,,,,,,,,,,,,,,281.71,,
